Game,buy_in,cash_out,profit,start_date_time,end_date_time,game_location,time_paused,tournament,Blinds,participants,end_position,notes,Original Order,game_name,blinds_name,kill_status
Omaha 8,$ 1000.00,$ 150.00,$ -850.00,Fri Feb 26 14:28:00 CST 2016,Sun Feb 28 00:28:00 CST 2016,Bellagio,-,cashgame,20/40,-,-,,340,Limit Holdem,20/40,none
Omaha 8,$ 4400.00,$ 0.00,$ -4400.00,Sun Feb 28 13:48:00 CST 2016,Mon Feb 29 04:48:00 CST 2016,Bellagio,-,cashgame,20/40,-,-,,341,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 4620.00,$ 3120.00,Mon Feb 29 15:31:00 CST 2016,Tue Mar 01 00:31:00 CST 2016,Bellagio,-,cashgame,20/40,-,-,,342,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1698.00,$ 698.00,Thu Apr 14 00:44:00 CDT 2016,Thu Apr 14 04:44:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,343,Limit Holdem,20/40,none
Omaha 8,$ 1000.00,$ 1566.00,$ 566.00,Thu Apr 14 17:00:00 CDT 2016,Thu Apr 14 19:15:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,344,Limit Holdem,20/40,none
Bellagio 20 40,$ 1900.00,$ 2900.00,$ 1000.00,Fri Apr 15 16:21:00 CDT 2016,Fri Apr 15 22:21:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,345,Limit Holdem,20/40,none
Bellagio 20 40,$ 4000.00,$ 4065.00,$ 65.00,Sat Apr 16 02:39:00 CDT 2016,Sat Apr 16 11:39:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,346,Limit Holdem,20/40,none
Omaha 8,$ 1000.00,$ 3934.00,$ 2934.00,Sat Apr 16 20:05:00 CDT 2016,Sun Apr 17 07:05:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,347,Limit Holdem,20/40,none
Commerce 20 40,$ 1000.00,$ 5017.00,$ 4017.00,Fri Apr 22 14:08:00 CDT 2016,Fri Apr 22 21:08:00 CDT 2016,Commerce ,-,cashgame,20/40,-,-,,348,Limit Holdem,20/40,none
Commerce 20 40,$ 5000.00,$ 1536.00,$ -3464.00,Sat Apr 23 19:40:00 CDT 2016,Sun Apr 24 19:40:00 CDT 2016,Commerce ,-,cashgame,20/40,-,-,,349,Limit Holdem,20/40,none
Omaha,$ 3000.00,$ 860.00,$ -2140.00,Sat Apr 30 19:38:00 CDT 2016,Sun May 01 05:38:00 CDT 2016,Lake Charles,-,cashgame,2 5 10,-,-,,350,Omaha,2/5/10,none
Omaha 8,$ 3500.00,$ 2828.00,$ -672.00,Fri May 06 01:35:00 CDT 2016,Fri May 06 10:35:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,351,Limit Holdem,20/40,none
